Type,Method,Peak,Analysis,Area
Non-purified,E,peak 7,4º,8.77
Non-purified,E,peak 7,5º,8.86
Non-purified,E,peak 8,1º,4.66
Non-purified,E,peak 8,2º,4.67
Non-purified,E,peak 8,3º,4.82
Non-purified,E,peak 8,4º,4.65
Non-purified,E,peak 8,5º,4.7
Non-purified,E,peak 9,1º,1.92
Non-purified,E,peak 9,2º,1.55
Non-purified,E,peak 9,3º,1.83
Non-purified,E,peak 9,4º,1.82
Non-purified,E,peak 9,5º,1.67
Non-purified,E,peak 10,1º,1.83
Non-purified,E,peak 10,2º,1.54
Non-purified,E,peak 10,3º,1.79
Non-purified,E,peak 10,4º,1.61
Non-purified,E,peak 10,5º,1.8
Non-purified,F,peak 1,1º,1.49
Non-purified,F,peak 1,2º,1.76
Non-purified,F,peak 1,3º,1.62
Non-purified,F,peak 1,4º,1.52
Non-purified,F,peak 1,5º,1.57
Non-purified,F,peak 1,6º,1.62
Non-purified,F,peak 2,1º,10.55
Non-purified,F,peak 2,2º,11.47
Non-purified,F,peak 2,3º,11.85
Non-purified,F,peak 2,4º,10.22
Non-purified,F,peak 2,5º,11.71
Non-purified,F,peak 2,6º,10.66
Non-purified,F,peak 3,1º,1.37
Non-purified,F,peak 3,2º,1.36
Non-purified,F,peak 3,3º,1.34
Non-purified,F,peak 3,4º,1.32
Non-purified,F,peak 3,5º,1.42
Non-purified,F,peak 3,6º,1.25
Non-purified,F,peak 4,1º,54.49
Non-purified,F,peak 4,2º,55.72
Non-purified,F,peak 4,3º,55.76
Non-purified,F,peak 4,4º,54.9
Non-purified,F,peak 4,5º,55.78
Non-purified,F,peak 4,6º,56.56
Non-purified,F,peak 5,1º,6.97
Non-purified,F,peak 5,2º,6.49
Non-purified,F,peak 5,3º,7.16
Non-purified,F,peak 5,4º,7.44
Non-purified,F,peak 5,5º,7.43
Non-purified,F,peak 5,6º,7.69
Non-purified,F,peak 6,1º,8.15
Non-purified,F,peak 6,2º,7.64
Non-purified,F,peak 6,3º,7.51
Non-purified,F,peak 6,4º,7.99
Non-purified,F,peak 6,5º,7.07
Non-purified,F,peak 6,6º,6.47
Non-purified,F,peak 7,1º,8.59
Non-purified,F,peak 7,2º,9.05
Non-purified,F,peak 7,3º,8.77
Non-purified,F,peak 7,4º,8.88
Non-purified,F,peak 7,5º,8.71
Non-purified,F,peak 7,6º,8.38
Non-purified,F,peak 8,1º,4.53
Non-purified,F,peak 8,2º,4.12
Non-purified,F,peak 8,3º,4.07
Non-purified,F,peak 8,4º,4.54
Non-purified,F,peak 8,5º,4.07
Non-purified,F,peak 8,6º,4.39
Non-purified,F,peak 9,1º,1.83
Non-purified,F,peak 9,2º,1.34
Non-purified,F,peak 9,3º,1.17
Non-purified,F,peak 9,4º,1.62
Non-purified,F,peak 9,5º,1.13
Non-purified,F,peak 9,6º,1.81
Non-purified,F,peak 10,1º,2.02
Non-purified,F,peak 10,2º,1.05
Non-purified,F,peak 10,3º,0.74
Non-purified,F,peak 10,4º,1.55
Non-purified,F,peak 10,5º,1.11
Non-purified,F,peak 10,6º,1.16
